"Site","WS","gseason","WD","n"
"Atlin School","(9, Inf]","Summer","270",2
"Atlin School","(9, Inf]","Winter","240",7
"Atlin School","(9, Inf]","Winter","270",3
"Atlin School","(6,9]","Summer","0",1
"Atlin School","(6,9]","Summer","210",6
"Atlin School","(6,9]","Summer","240",31
"Atlin School","(6,9]","Summer","270",46
"Atlin School","(6,9]","Summer","300",5
"Atlin School","(6,9]","Summer","330",39
"Atlin School","(6,9]","Winter","0",18
"Atlin School","(6,9]","Winter","120",1
"Atlin School","(6,9]","Winter","210",52
"Atlin School","(6,9]","Winter","240",81
"Atlin School","(6,9]","Winter","270",43
"Atlin School","(6,9]","Winter","300",3
"Atlin School","(6,9]","Winter","330",122
"Atlin School","(3,6]","Summer","0",12
"Atlin School","(3,6]","Summer","90",2
"Atlin School","(3,6]","Summer","120",2
"Atlin School","(3,6]","Summer","150",8
"Atlin School","(3,6]","Summer","180",28
"Atlin School","(3,6]","Summer","210",1009
"Atlin School","(3,6]","Summer","240",1736
"Atlin School","(3,6]","Summer","270",1770
"Atlin School","(3,6]","Summer","300",641
"Atlin School","(3,6]","Summer","330",658
"Atlin School","(3,6]","Winter","0",358
"Atlin School","(3,6]","Winter","30",2
"Atlin School","(3,6]","Winter","90",1
"Atlin School","(3,6]","Winter","120",31
"Atlin School","(3,6]","Winter","150",83
"Atlin School","(3,6]","Winter","180",185
"Atlin School","(3,6]","Winter","210",2075
"Atlin School","(3,6]","Winter","240",1159
"Atlin School","(3,6]","Winter","270",686
"Atlin School","(3,6]","Winter","300",265
"Atlin School","(3,6]","Winter","330",1064
"Atlin School","(-Inf,3]","Summer","0",1106
"Atlin School","(-Inf,3]","Summer","30",502
"Atlin School","(-Inf,3]","Summer","60",513
"Atlin School","(-Inf,3]","Summer","90",1470
"Atlin School","(-Inf,3]","Summer","120",4270
"Atlin School","(-Inf,3]","Summer","150",3431
"Atlin School","(-Inf,3]","Summer","180",2988
"Atlin School","(-Inf,3]","Summer","210",6537
"Atlin School","(-Inf,3]","Summer","240",7617
"Atlin School","(-Inf,3]","Summer","270",7862
"Atlin School","(-Inf,3]","Summer","300",4153
"Atlin School","(-Inf,3]","Summer","330",2643
"Atlin School","(-Inf,3]","Winter","0",4499
"Atlin School","(-Inf,3]","Winter","30",2288
"Atlin School","(-Inf,3]","Winter","60",2022
"Atlin School","(-Inf,3]","Winter","90",3312
"Atlin School","(-Inf,3]","Winter","120",7990
"Atlin School","(-Inf,3]","Winter","150",7314
"Atlin School","(-Inf,3]","Winter","180",5078
"Atlin School","(-Inf,3]","Winter","210",7560
"Atlin School","(-Inf,3]","Winter","240",4281
"Atlin School","(-Inf,3]","Winter","270",8970
"Atlin School","(-Inf,3]","Winter","300",4462
"Atlin School","(-Inf,3]","Winter","330",6113
"Barren","(9, Inf]","Summer","30",1
"Barren","(9, Inf]","Summer","60",33
"Barren","(9, Inf]","Summer","90",6
"Barren","(9, Inf]","Summer","120",1
"Barren","(9, Inf]","Summer","180",1
"Barren","(9, Inf]","Summer","210",68
"Barren","(9, Inf]","Summer","240",912
"Barren","(9, Inf]","Summer","270",297
"Barren","(9, Inf]","Summer","300",32
"Barren","(9, Inf]","Summer","330",3
"Barren","(9, Inf]","Winter","30",17
"Barren","(9, Inf]","Winter","60",164
"Barren","(9, Inf]","Winter","90",16
"Barren","(9, Inf]","Winter","120",1
"Barren","(9, Inf]","Winter","150",3
"Barren","(9, Inf]","Winter","210",171
"Barren","(9, Inf]","Winter","240",546
"Barren","(9, Inf]","Winter","270",64
"Barren","(9, Inf]","Winter","300",5
"Barren","(9, Inf]","Winter","330",3
"Barren","(6,9]","Summer","0",3
"Barren","(6,9]","Summer","30",16
"Barren","(6,9]","Summer","60",66
"Barren","(6,9]","Summer","90",22
"Barren","(6,9]","Summer","120",3
"Barren","(6,9]","Summer","150",6
"Barren","(6,9]","Summer","180",9
"Barren","(6,9]","Summer","210",145
"Barren","(6,9]","Summer","240",688
"Barren","(6,9]","Summer","270",270
"Barren","(6,9]","Summer","300",29
"Barren","(6,9]","Summer","330",7
"Barren","(6,9]","Winter","0",5
"Barren","(6,9]","Winter","30",22
"Barren","(6,9]","Winter","60",205
"Barren","(6,9]","Winter","90",32
"Barren","(6,9]","Winter","120",6
"Barren","(6,9]","Winter","150",3
"Barren","(6,9]","Winter","180",6
"Barren","(6,9]","Winter","210",167
"Barren","(6,9]","Winter","240",349
"Barren","(6,9]","Winter","270",41
"Barren","(6,9]","Winter","300",7
"Barren","(6,9]","Winter","330",2
"Barren","(3,6]","Summer","0",32
"Barren","(3,6]","Summer","30",83
"Barren","(3,6]","Summer","60",287
"Barren","(3,6]","Summer","90",316
"Barren","(3,6]","Summer","120",217
"Barren","(3,6]","Summer","150",119
"Barren","(3,6]","Summer","180",203
"Barren","(3,6]","Summer","210",1030
"Barren","(3,6]","Summer","240",2200
"Barren","(3,6]","Summer","270",710
"Barren","(3,6]","Summer","300",82
"Barren","(3,6]","Summer","330",36
"Barren","(3,6]","Winter","0",62
"Barren","(3,6]","Winter","30",231
"Barren","(3,6]","Winter","60",780
"Barren","(3,6]","Winter","90",227
"Barren","(3,6]","Winter","120",61
"Barren","(3,6]","Winter","150",104
"Barren","(3,6]","Winter","180",100
"Barren","(3,6]","Winter","210",657
